ID,Hurricane,Origin,Sex,SVL,Femur,Tibia,Metatarsal,LongestToe,Humerus,Radius,Metacarpal,LongestFinger,FingerCount,ToeCount,FingerArea1,FingerArea2,FingerArea3,ToeArea1,ToeArea2,ToeArea3
624,After,Water Cay,Female,40.72,8.06,9.75,5.94,5.86,7.38,6.33,2.56,2.95,11,13,0.883,0.878,0.872,1.326,1.37,1.306
625,After,Water Cay,Female,43.14,8.79,10.04,6.1,5.64,7.66,6.49,2.52,3.2,11,13,1.002,0.981,0.978,1.376,1.41,1.362
626,After,Water Cay,Male,48.53,9.61,11.9,7.83,6.79,8.6,7.54,2.61,4.27,13,14,1.706,1.781,1.832,2.461,2.459,2.472
627,After,Water Cay,Female,43.5,9.04,9.83,6.24,6.72,7.97,6.65,2.73,3.39,11,12,1.113,1.182,1.193,1.938,1.924,1.927
628,After,Water Cay,Male,54.45,11.77,13.26,8.21,8.36,11.26,8.76,3,4.71,12,15,2.347,2.353,2.332,3.485,3.49,3.427
629,After,Water Cay,Male,56.3,12.53,13.25,8.52,7.92,9.73,8.73,3.33,4.42,11,14,2.253,2.276,2.301,3.46,3.558,3.58
630,After,Water Cay,Female,43.52,9.16,10.15,6.4,6.63,7.71,6.83,2.5,3.09,10,13,1.047,1.04,1.005,1.885,1.846,1.859
631,After,Water Cay,Female,41.67,7.9,9.88,6.51,5.77,7.39,6.42,2.1,2.83,11,12,0.888,0.91,0.908,1.564,1.576,1.521
632,After,Water Cay,Male,48.46,10.62,12.32,7.97,7.13,9.34,8.06,2.9,3.84,12,15,1.547,1.605,1.581,2.498,2.426,2.468
633,After,Water Cay,Female,41.68,8.23,10.3,6.27,6.26,7.4,6.66,2.69,3.34,13,14,1.158,1.113,1.158,1.579,1.598,1.549
634,After,Water Cay,Female,41.89,8.29,9.55,6.26,6.34,7.66,6.47,2.47,3.2,11,12,0.971,1.072,1.106,1.615,1.612,1.585
635,After,Water Cay,Male,56.45,11.47,13.56,8.18,7.63,9.92,9.13,2.94,4.59,13,16,2.139,2.163,2.152,3.508,3.527,3.539
636,After,Water Cay,Male,57.27,13.37,13.89,8.18,8.76,10.28,8.79,3.25,4.84,13,16,2.363,2.354,2.368,3.745,3.767,3.717
638,After,Water Cay,Male,53.1,11.36,13.14,8.05,7.6,9.88,8.39,2.65,4.23,12,15,2.092,2.094,2.099,3.332,3.343,3.397
639,After,Water Cay,Female,44.35,8.51,10.76,6.94,6.36,8.08,7.09,2.67,3.48,11,12,1.106,1.079,1.083,1.706,1.695,1.681
640,After,Water Cay,Male,51.26,10.61,12.42,7.77,7.65,9.66,8.08,3.16,4.38,12,15,1.71,1.679,1.678,2.821,2.819,2.845
641,After,Water Cay,Female,41.32,8.27,10.04,6.61,5.97,7.95,6.39,2.32,3.72,11,13,0.821,0.856,0.864,1.439,1.47,1.445
643,After,Water Cay,Female,45.62,9.58,10.51,6.65,6.51,7.97,6.94,2.75,3.04,11,12,1.429,1.427,1.399,2.095,2.016,1.992
645,After,Water Cay,Female,43.35,8.81,10.51,6.55,5.59,7.28,6.77,2.35,3.33,11,14,1.197,1.157,1.166,1.91,1.952,1.14
646,After,Water Cay,Female,43.46,8.05,10.48,6.54,6.13,7.4,6.74,2.67,3.19,10,13,1.081,1.092,1.076,1.713,1.717,1.729
647,After,Water Cay,Female,44.05,9.66,10.57,6.61,6.14,8.07,7.12,2.52,3.21,11,13,1.207,1.227,1.225,1.881,1.845,1.879
649,After,Water Cay,Male,48.43,10.32,12.3,7.6,7.23,9.54,7.88,2.82,3.53,11,15,1.432,1.424,1.425,2.717,2.732,2.762
650,After,Water Cay,Male,54.46,11.11,13.36,8.52,8.31,9.87,8.74,3.08,4.17,12,14,2.051,2.086,2.016,3.402,3.414,3.444
651,After,Water Cay,Male,54.26,11.24,12.77,7.92,7.68,10.09,8.67,2.8,4.14,13,14,2.11,2.19,2.127,3.138,3.185,3.179
